AFF_LOVE_POINT	Liebespunkte: %d%%
INPUT_PRIVATE_CODE_DIALOG_TITLE	Zeichen löschen	
INPUT_WINDOW_TEXT	Bitte gib einen anderen Namen ein	
INTRO_SELECT_LEVEL	Lv. %d	
INVENTORY_REALLY_USE_ITEM	Artikel auf %s verwenden?
JANUAR	Januar	
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Keiner
JOB_ASSASSIN1	Nahkampf Lehrer
JOB_ASSASSIN2	Fernkampf Lehrer
JOB_SHAMAN	Schamane
JOB_SHAMAN0	Keiner
JOB_SHAMAN1	Lehrer der Drachenmacht
JOB_SHAMAN2	Lehrer der Heilung
JOB_SURA	Sura
JOB_SURA0	Keiner
JOB_SURA1	Magische-Waffen Lehrer
JOB_SURA2	Schwarze-Magie Lehrer
JOB_WARRIOR	Warrior Krieger
JOB_WARRIOR0	Keiner
JOB_WARRIOR1	Körper-Kampf Lehrer
JOB_WARRIOR2	Mental-Kampf Lehrer
JOB_WOLFMAN	Lykaner
JOB_WOLFMAN0	Amateur-Lykaner
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
JULY	Juli	
JUNE	Juni	
KEY_A	A	
KEY_D	D	
KEY_E	UND	
KEY_L	L	
KEY_N	N	
KEY_S	S	
KEY_V	V	
LEFT_TIME	Verbleibende Zeit	
LOGIN_CONNECT_FAILURE	Fehler beim Verbinden mit dem Server.
LOGIN_CONNECT_SUCCESS	Du wurdest mit dem Server verbunden.
LOGIN_CONNETING	Du wirst mit dem Server verbunden	
LOGIN_FAILURE_ALREAY	Dein Konto ist bereits verbunden.
LOGIN_FAILURE_BE_SAME_KEY	Registrierungsproblem.	
LOGIN_FAILURE_BLOCK_ID	Dein Konto ist nicht aktiviert. überprüfe deine Email	
LOGIN_FAILURE_BLOCK_LOGIN	Wähle einen anderen Server!	
LOGIN_FAILURE_NOBILL	Dein Konto hat keine Spielstunden.	
LOGIN_FAILURE_NOT_AVAIL	Dein Account ist gesperrt. Kontaktiere einen Administrator!	
LOGIN_FAILURE_NOT_EXIST_ID	Falscher Account oder falsches Passwort.	
LOGIN_FAILURE_REPAIR_ID	Die Item(s)e für dieses Konto wurden wiederhergestellt.	
LOGIN_FAILURE_SHUTDOWN	Der Server ist noch nicht geöffnet.
LOGIN_FAILURE_TOO_MANY_USER	Zu viele verbundene Spieler! Warte ein wenig ...	
LOGIN_FAILURE_UNKNOWN	Du kannst dich aus unbekannten Gründen nicht anmelden.	
LOGIN_FAILURE_WEB_BLOCK	Du wurdest für die Website gesperrt. Bitte überprüfe deine E-Mail.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Du hast eine falsche Nummer eingegeben.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Du hast dreimal eine falsche Nummer eingegeben. /n Deine Verbindung wird deaktiviert.	
LOGIN_FAILURE_WRONG_PASSWORD	Falsches Konto oder Passwort	
LOGIN_INPUT_ID	Gib die ID ein.	
LOGIN_INPUT_PASSWORD	Gib das Passwort ein.	
LOGIN_PROCESSING	Erfolgreich verbunden!	
MALL_CANNOT_INSERT	Du kannst das Item(s) nicht einfügen.	
MALL_PASSWORD_TITLE	Passwort	
MAP_A1	Yongan-Gebiet	
MAP_A2	Seungryong-Tal	
MAP_A3	Yayang-Gebiet	
MAP_AG	Jungrang	
MAP_B1	Joan-Gebiet	
MAP_B2	IMJI-Tal	
MAP_B3	Bokjung-Gebiet	
MAP_BAY	Nephrit bahia	
MAP_BG	Waryong	
MAP_C1	Pyungmoo-Gebiet	
MAP_C2	Bangsan-Tal	
MAP_C3	Bakra-Gebiet	
MAP_CAPE	Kap des Drachenfeuers	
MAP_CG	IM Ha	
MAP_DAWN	Gautama-Cliff	
MAP_DESERT	Yongbi-Wüste	
MAP_FLAME	Doyumhwan	
MAP_NUSLUCK	Land der Giganten	
MAP_SKELTOWER	Gumsan-Turm	
MAP_SNOW	Monte Sohan	
MAP_SPIDER	Kuahlo Dong	
MAP_TEMPLE	Hwang-Tempel	
MAP_THUNDER	Donnerberge	
MAP_TREE	Lungsam	
MAP_TRENT	Geisterwald	
MAP_TRENT02	Roter Wald	
MAP_WL	Schlangenfeld	
MARCH	März	
EVENT_MONTH_1	January	
EVENT_MONTH_10	October	
EVENT_MONTH_11	November	
EVENT_MONTH_12	December	
EVENT_MONTH_2	February	
EVENT_MONTH_3	March	
EVENT_MONTH_4	April	
EVENT_MONTH_5	May	
EVENT_MONTH_6	June	
EVENT_MONTH_7	July	
EVENT_MONTH_8	August	
EVENT_MONTH_9	September	
EVENT_START_AT	Starts: 	
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	There is no event this day.	
EVENT_TOOLTIP_TITLE	Day %s:	
MAY	Mai	
MESSENGER_ADD_FRIEND	Freund hinzufügen
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s hat dich als Freund hinzugefügt.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Akzeptieren?
MESSENGER_DO_YOU_DELETE	Löschen?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Willst du die Handynummer löschen?
MESSENGER_EMPTY_LIST	Leeren
MESSENGER_FAMILIE	Familie
MESSENGER_FRIEND	Freunde
MESSENGER_GUILD	Gilde
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Gib den Bestätigungscode ein, der an dein Mobiltelefon gesendet wurde.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Gib die Bestätigungsnummer ein	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Gib die Handynummer ein, an die die Textnachricht gesendet wurde.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Willst du die Nummer jetzt eingeben?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Gib die Handynummer ein.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Nachricht senden.	
MINIMAP	Minikarte öffnen
MINIMAP_BOSS_TOOLTIP	[Respawn: %s]
MINIMAP_CANNOT_SEE	Mini Map kann nicht gesehen werden.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Grosse Karte kann nicht angezeigt werden.
MINIMAP_DEC_SCALE	Verkleinern
MINIMAP_INC_SCALE	Vergrössern
MINIMAP_OBSERVER_COUNT	%d Beobachter
MINIMAP_SHOW_AREAMAP	Grosse Karte öffnen
MINUTE	Minuten	
MISSION_BOSS	Chefjäger	
MISSION_BOSS_DESC	Töte alle Bosse, die für das Abschliessen der Mission erforderlich sind	
MISSION_BOSS_SUB	Boss	
MISSION_CATCH_FISH	Der Fischer	
MISSION_CATCH_FISH_DESC	Fange die erforderliche Anzahl von Fischen \n, um die Mission zu beenden.	
MISSION_CATCH_FISH_SUB	Fisch	
MISSION_COMPLETED	Abgeschlossen:	
MISSION_COMPLETED_COUNT	Erledigte Missionen: %d	
MISSION_CRAFT_GAYA	Gaya-Riss	
MISSION_CRAFT_GAYA_DESC	Craftea das benötigte schwule Item(s)	
MISSION_CRAFT_ITEM	Verbessere Item(s)e	
MISSION_CRAFT_ITEM_DESC	Level ein Item(s) mit Segen \n, um die Mission abzuschliessen	
MISSION_CRAFT_ITEM_SUB	Item(s) zum Herstellen:	
MISSION_DATE_TEXT	Name: %s %d	
MISSION_DESTROY_ITEM	Zerstöre Item(s)e	
MISSION_DESTROY_ITEM_DESC	Zerstöre das Item(s), das für das Abschliessen der Mission benötigt wird.	
MISSION_DUNGEON	Schliesse Dungeon ab	
MISSION_DUNGEON_DESC	Führe den Dungeon durch, der für \nacabar die Mission erforderlich ist.	
MISSION_DUNGEON_SUB	Dungeon	
MISSION_EARN_MONEY	Goldsammler	
MISSION_EARN_MONEY_DESC	Stiehl den Mobs Yang, um \n das benötigte Yang zu erhalten und die Mission abzuschliessen.	
MISSION_FEED_PET	Füttere dein Haustier	
MISSION_FEED_PET_DESC	Füttere dein Haustier, damit es nicht stirbt	
MISSION_KILLPLAYER	Töte Spieler	
MISSION_KILLPLAYER_DESC	Töte Spieler, um die Mission abzuschliessen	
MISSION_LEFT_TIME	Zeit: %s	
MISSION_LEVEL_UP	Levelaufstieg	
MISSION_LEVEL_UP_DESC	Steigere deine leichte Stufe.	
MISSION_MONSTER	Töte Monster	
MISSION_MONSTER_DESC	Töte die benötigten Monster, um die Quest zu beenden.	
MISSION_MONSTER_SUB	Monster	
MISSION_MOUNT_TIME	Der Reiter	
MISSION_MOUNT_TIME_DESC	Erreiche die erforderliche Zeit.	
MISSION_NONE	Unbekannte Mission	
MISSION_OPEN_OFFLINESHOP	Offline-Laden öffnen	
MISSION_OPEN_OFFLINESHOP_DESC	öffne einen Offline-Laden	
MISSION_PLAYTIME	Aktiver Spieler	
MISSION_PLAYTIME_DESC	Erfasst die Anzahl der Minuten, die \n benötigt werden, um die Mission abzuschliessen.	
MISSION_REFINE_ALCHEMY	Verbessere deine Alchemie	
MISSION_REFINE_ALCHEMY_DESC	Verbessere deine Alchemie, um die Mission abzuschliessen	
MISSION_REFINE_ITEM	Verbessert ein Item(s)	
MISSION_REFINE_ITEM_DESC	Verbessert das benötigte Item(s)	
MISSION_REFINE_ITEM_SUB	Item(s)	
MISSION_REMAINING	Betrag:	
MISSION_SASH	Schulterbänder	
MISSION_SASH_DESC	Kombiniert alle benötigten Schulterbänder	
MISSION_SELL_ITEM	Item(s)e verkaufen	
MISSION_SELL_ITEM_DESC	Verkaufe ??das benötigte Item(s)	
MISSION_SHOUT_CHAT	Verwende den globalen Chat	
MISSION_SHOUT_CHAT_DESC	Chatte mit den anderen Spielern über den globalen Chat, um die Mission abzuschliessen.	
MISSION_SPEND_MONEY	Händler	
MISSION_SPEND_MONEY_DESC	Gib das für die Mission benötigte Yang bei einem NPC aus.	
MISSION_SPRITE_STONE	Steine hinzufügen	
MISSION_SPRITE_STONE_DESC	Steine zu Item(s)en hinzufügen	
MISSION_STONE	Metines Zerstörer	
MISSION_STONE_DESC	Zerstört die Menge an Metinen, die \n benötigt wird, um die Mission abzuschliessen.	
MISSION_SUB_ALL	Beliebig	
MISSION_TASK_COUNT	Gesamte Missionen: %d	
MISSION_USE_EMOTICON	Emotionen verwenden	
MISSION_USE_EMOTICON_DESC	Verwende Emotionen, um die Mission abzuschliessen	
MISSION_WHISPER	mp senden	
MISSION_WHISPER_DESC	MPS an andere Spieler senden	
MONETARY_COMBAT_ZONE	Punkte	
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Verkaufspreis:	
MOONLIGHT_EVENT	Mondscheinkisten	
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan	
MOUNT_SOHAN_MAP_NAME	Berg Sohan	
MOUNT_YONGBI_MAP_NAME	Yongbi-Wüste	
MOVE_CHANNEL_CANCEL	Abbrechen	
MOVE_CHANNEL_SELECT	Ok	
MOVE_CHANNEL_TITLE	Kanäle	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst kein Item(s) verschieben, während du einen privaten Laden geöffnet hast.	
MULTI_FARM_DEACTIVE_TEXT	Willst du Multi-Farm deaktivieren?	
MULTI_FARM_PREMIUM_EFFECT	Erhöhe die Anzahl der Charaktere zum Farmen +%d	SA
MULTI_FARM_TITLE	Multi-Farm-Block	
MUSIC_EMPTY_MUSIC_LIST	Keine Hintergrundmusik.
MUSIC_METIN2_DEFAULT_THEMA	Vidra Standardmusik
MUSIC_NOT_SELECT_MUSIC	Keine Musikdatei ausgewählt.
NAME_INPUT_PRICE	Preis: 100k	
NAME_INPUT_TEXT	Umbenennen	
NAME_PET_INPUT_TEXT	Name deines Haustiers	
NEEFD_REST	Du musst dich erst ausruhen.	
NEW_AFFECT_DECORATION	Kaschmir-Packung	SNA
NOBONUS	[Ohne Bonus]	
NONE_AFFECT	Ohne Effekt	
NORMAL_EVENT_TIME	Vom: %s bis: %s	
NOT_YET_SUPPORT	Noch nicht unterstützt	
NOVEMBER	November	
NPC_SEARCH	Durchsuche den NPC	
NPC_SEARCH_TEXT	Respawnea auf den folgenden Maps:	
OCTOBER	Oktober	
OFFLINESHOP_ACCEPT	Ja	
OFFLINESHOP_ADD_TIME_DIALOG	Erhöhe 12h. Kosten: %s	
OFFLINESHOP_BUY_DIALOG	Artikel kaufen	
OFFLINESHOP_CANCEL	Abbrechen	
OFFLINESHOP_CANNOT_SELL_ITEM	Dieser Artikel kann nicht verkauft werden	
OFFLINESHOP_CLOSE	Shop schliessen/ Logs löschen	
OFFLINESHOP_CLOSE_DIALOG	Willst du deinen Offline-Laden schliessen?	
OFFLINESHOP_GET_BACK_ITEMS	Willst du Artikel zurückholen?	
OFFLINESHOP_INPUT_PRICE_DIALOG_TITLE	Preis	
OFFLINESHOP_LOGS	Verkäufe	
OFFLINESHOP_MESSAGE	Du hast %s um %s yang verkauft	
OFFLINESHOP_MESSAGE_WITH_COUNT	Du hast x%d%s von %s yang verkauft	
OFFLINESHOP_REMOVE_LOGS	Willst du Datensätze löschen?	
OFFLINESHOP_SEEN	Visualisierungen: %d Insgesamt: %d	
OFFLINE_SHOP_ITEM_SOLD	Artikel verkauft!	
OFFLINE_SHOP_ITEM_SOLD2	[Gekauft von: %s]	
OFFLINE_SHOP_TITLE	Geschäft	
OK	OK	
ONLY_CHANNEL	Nur in CH %d	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Du kannst den Gildenmodus nicht aktivieren, wenn du nicht zu einer Gilde gehörst.
OPTION_PVPMODE_NOT_SUPPORT	Du kannst diese Konfiguration im PvP-Modus nicht wählen.
OPTION_PVPMODE_PROTECT	Du musst mindestens Level %d haben, um den PvP-Modus ändern zu können.
OPTION_SALESTEXT_RANGE	Bereichstitel speichert	
PARTY_BONUS_ATTACKER	Angriffswert: +%d	SA
PARTY_BONUS_BERSERKER	Angriffsgeschwindigkeit: +%d	SA
PARTY_BONUS_BUFFER	Fertigkeitsschadendauer: +%d	SA
PARTY_BONUS_DEFENDER	Verteidigung: +%d%%	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	TP-Wiederherstellung pro Kill +%d%%	SA
PARTY_BONUS_TANKER	Max. TP: +%d	SA
PARTY_BREAK_UP	Gruppe löschen
PARTY_DO_YOU_ACCEPT	möchte der Gruppe beitreten.
PARTY_DO_YOU_JOIN	hat dich eingeladen, seiner Gruppe beizutreten. Akzeptieren?
PARTY_EXP_DISTRIBUTION_MODE	EXP Verteilung
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Stufenabhängig
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Gruppenmitglieder mit höherem Level erhalten mehr EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	gerade
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle Gruppenmitglieder erhalten die gleichen EXP.
PARTY_HEAL_ALL_MEMBER	Alles wiederherstellen.	
PARTY_INCREASE_AREA_150	Bereich der Gruppe um den Faktor 1,5 vergrössert.	SNA
PARTY_INCREASE_AREA_200	Bereich der Gruppe um den Faktor 2 vergrössert.	SNA
PARTY_LEAVE	Gruppe verlassen
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Gruppenmitglied anrufen.
PARTY_REQUEST_DENIED	Deine Anfrage wurde abgelehnt.
PARTY_SET_ATTACKER	Konstituiere dich als Angreifer.
PARTY_SET_BERSERKER	Konstituiere dich als Berserker.
PARTY_SET_BUFFER	Konstituiere dich als Blocker.
PARTY_SET_DEFENDER	Konstituiert sich als Verteidiger.
PARTY_SET_NORMAL	Ziehe die Einstellungen zurück.
PARTY_SET_SKILL_MASTER	Konstituiert sich als Skill Master.
PARTY_SET_TANKER	Als Klingenkämpfer konstituieren
PARTY_SKILL_ATTACKER	Grundangriffswert Angreifer +%.0f
PARTY_SKILL_BERSERKER	Angriffsgeschwindigkeit Berserker +%.0f
PARTY_SKILL_BUFFER	Fertigkeitsdauer Blocker +%.0f
PARTY_SKILL_DEFENDER	Verteidigung als Verteidiger +%.0f%%
PARTY_SKILL_SKILL_MASTER	TP-Regeneration als Skill Master +%.0f%%
PARTY_SKILL_TANKER	Max. TP Klingenkämpfer +%.0f
PARTY_SKILL_WARP	Möglichkeit, Gruppenmitglieder zu rufen.
PASSWORD_TITLE	Lagerraum-Passwort
PET_ADD_SLOT_QUESTION	Willst du diesen Slot freischalten?	
PET_DIALOG	Du kannst diesen Slot mit dem aktuellen Level deines Haustiers nicht benutzen! Erforderliche Stufe: %d.	
PET_GUI_AGE	Entwickeln	
PET_GUI_BONUSES	Passiver Bonus	
PET_GUI_BRAVE	Mutig	
PET_GUI_DURATION	Verbleibende Zeit	
PET_GUI_EVOLVE_BTN	Entfalten	
PET_GUI_EXPERIENCE	Erfahrung	
PET_GUI_HERO	Heldenhaft	
PET_GUI_PETSKILL	Fertigkeiten	
PET_GUI_TITLE	Informationen über dein Haustier	
PET_GUI_WILD	Wild	
PET_GUI_YOUNG	Jung	
PET_PROTEIN_QUESTION_TEXT	Füge deinem Haustier Leben zu?	
PET_REMOVE_QUESTION_TEXT	Alle Fähigkeiten vergessen?	
PET_REMOVE_SLOT_QUESTION	Willst du die Fähigkeit (%s) löschen?	
PET_SKIL_1	Metin Handbuch
PET_SKIL_10	Esoterik-Handbuch
PET_SKIL_11	Untote Handbuch
PET_SKIL_12	Dämonen-Handbuch
PET_SKIL_13	Erfahrungs-Handbuch
PET_SKIL_14	Tropfen-Handbuch
PET_SKIL_15	Yang-Handbuch
PET_SKIL_16	Menschliches M.Manual
PET_SKIL_17	Manual Res M.Human
PET_SKIL_18	Menschlicher Schaden Manual
PET_SKIL_19	Menschlicher Schaden Manual Res.
PET_SKIL_2	Monster Handbuch
PET_SKIL_20	Handbuch Medien
PET_SKIL_21	Mittelwert Res. Handbuch
PET_SKIL_22	Anti-Kritik-Handbuch
PET_SKIL_23	Anti-Penetrations-Handbuch
PET_SKIL_24	Handbuch Zaubergeschwindigkeit
PET_SKIL_25	Blockieren Handbuch
PET_SKIL_26	Giftresistenz Handbuch
PET_SKIL_27	Eis-Handbuch
PET_SKIL_28	Erde Handbuch
PET_SKIL_29	Dunkelheit Handbuch
PET_SKIL_3	Bosse Handbuch
PET_SKIL_4	Kraft Handbuch
PET_SKIL_5	Intelligenz Handbuch
PET_SKIL_6	Beweglichkeits-Handbuch
PET_SKIL_7	Leben Handbuch
PET_SKIL_8	Tier-Handbuch
PET_SKIL_9	Orks Handbuch
PICK_ITEM_TITLE	Gegenstandsnummer
PICK_MONEY_TITLE	Summe
PRIVATESHOPSEARCH_BOOKS	Bücher	
PRIVATESHOPSEARCH_COSTUME	Kostüme	
PRIVATESHOPSEARCH_COSTUMES	Kostüme	
PRIVATESHOPSEARCH_COUNT	Betrag	
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY	Drache Alquimias	
PRIVATESHOPSEARCH_EQUIPMENT	Ausrüstung	
PRIVATESHOPSEARCH_ITEMNAME	Gegenstandsname	
PRIVATESHOPSEARCH_OTHERITEMS	Andere Gegenstände	
PRIVATESHOPSEARCH_PET	Haustiersystem	
PRIVATESHOPSEARCH_PETS	Haustiere	
PRIVATESHOPSEARCH_SEARCH_BAR	Globale Suche	
PRIVATESHOPSEARCH_SELLER	Verkäufer	
PRIVATESHOPSEARCH_WEAPON	Waffen	
PRIVATE_SHOP_CANNOT_SELL_ITEM	Du kannst dieses Item(s) nicht im privaten Laden verkaufen.	
PRIVATE_SHOP_CLOSE_QUESTION	Willst du den privaten Laden schliessen?	
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preis	
PURCHASES_ACCOUNTID	ID Konto	
PURCHASES_DATE	Datum	
KaeUFE_IP	IP	
PURCHASES_ITEMBOUGHT	Gekauftes Item(s)	
PURCHASES_PRICE	Preis	
PVP_EVENT_TIME	Beginn in: %s	
PVP_LEVEL0	Ritterlich
PVP_LEVEL1	Edel
PVP_LEVEL2	Gut
PVP_LEVEL3	Freundlich
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggressiv
PVP_LEVEL6	Arglistig
PVP_LEVEL7	Bösartig
PVP_LEVEL8	Grausam
PVP_MODE_GUILD	PvP - Gilde aktiviert
PVP_MODE_KILL	PvP - Frei aktiviert
PVP_MODE_NORMAL	PvP - Frieden aktiviert
PVP_MODE_PROTECT	PvP - Schutz aktiviert
PVP_MODE_REVENGE	PvP - Feindlich aktiviert
PVP_OPTION_KILL	Frei
PVP_OPTION_NORMAL	Frieden
PVP_OPTION_PROTECT	Schutz
PVP_OPTION_REVENGE	Feindlich
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Abgelaufene Zeit
QUEST_UNLIMITED_TIME	Keine Zeitbegrenzung.
QUICKSLOT_REGISTER_DISABLE_ITEM	Dieser Gegenstand kann nicht zum Schnellzugriffsfeld hinzugefügt werden.
RANKING	Rang	
RECEIVE_MESSAGE	%s hat dir eine Nachricht geschickt.
REFINE_COST	Kosten: %s	
REFINE_COST_UPGRADE	[i] Verbesserungspreis	
REFINE_CURRENT_ITEM	[i] aktueller Einwand	
REFINE_CURRENT_PERCENTAGE	[i] Wahrscheinlichkeit der Verbesserung:%d%%	
REFINE_DESTROY_WARNING	Dieser Gegenstand könnte beim Verbessern zerstört werden.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Willst du diesen Gegenstand wirklich aufwerten?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Wenn du scheiterst, wird der Gegenstand zerstört. Willst du weitermachen?
REFINE_DOWN_GRADE_WARNING	Der Gegenstand könnte auf diese Weise herabgestuft werden.
REFINE_DO_YOU_SEPARATE_METIN	Willst du alle verfügbaren Geiststeine entfernen?
REFINE_ELEMENT_CHANGE_TEXT	%s hat jetzt das Element %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Die elementare Verzauberung wurde herabgestuft.
REFINE_ELEMENT_TEXT_DARK	Dunkelheit +%d
REFINE_ELEMENT_TEXT_EARTH	Erde +%d
REFINE_ELEMENT_TEXT_ELECT	Blitz +%d
REFINE_ELEMENT_TEXT_FIRE	Feuer +%d
REFINE_ELEMENT_TEXT_ICE	Eis +%d
REFINE_ELEMENT_TEXT_WIND	Wind +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Elementarverzauberung fehlgeschlagen.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Elementarverzauberung erfolgreich!
REFINE_ERROR_ADD_PERC_STONES	[Verfeinern] Du kannst den Prozentsatz des Erfolgs der Steine nicht erhöhen.	
REFINE_ERROR_ITEM_COUNT	[Verfeinern] kann nur 1 Anzahl hinzufügen, nicht mehr.	
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[Refine] Der Gesamtprozentsatz liegt über 100, das kannst du nicht machen.	
REFINE_ERROR_ITEM_VNUM	[Refine] Du kannst diesen Artikel nicht hinzufügen.	
REFINE_FAILURE	Oh nein, das hat nicht geklappt! Wir sind gescheitert.
REFINE_FAILURE_CAN_NOT_ATTACH	%s kann nicht in diesen Artikel aufgenommen werden.
REFINE_FAILURE_CAN_NOT_ATTACH0	Es gibt keine Möglichkeit, %s hinzuzufügen.	
REFINE_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Items nicht aufwerten.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Es kann kein Geiststein mitgenommen werden.
REFINE_FAILURE_NEED_BETTER_SCROLL	Du brauchst eine bessere Aufstiegsschriftrolle.
REFINE_FAILURE_NO_GOLD_SOCKET	Es gibt keinen Goldsockel, um %s aufzunehmen.
REFINE_FAILURE_NO_MORE_SOCKET	Du kannst keine weiteren Sockel hinzufügen.
REFINE_FAILURE_NO_SOCKET0	Es gibt keinen freien Socket für den %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Du kannst keine weiteren Sockets zu diesem Element hinzufügen.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Dieser Artikel kann nicht upgegradet werden.
REFINE_INCREASE_PERCENTAGE	[Extra +%d%%]	
REFINE_NEED_ITEMS	[i] notwendige Gegenstände	
REFINE_NEXT_ITEM	[i] Verbesserter Gegenstand	
REFINE_PERCENTAGE_EXTRA	fünfzehn%	
REFINE_PERCENTAGE_LOW	5%	
REFINE_PERCENTAGE_MEDIUM	10%	
REFINE_SUCCESS	Die Beförderung des Gegenstands war erfolgreich.
REFINE_SUCCESS_PROBALITY	Chance auf Weiterentwicklung %d%%
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	
REFINE_WARNING2	Willst du fortfahren?
REVIVE_AUTO_TOWN_MESSAGE	Automatische Wiederbelebung in: {}	
SAFEBOX_ERROR	Du hast ein falsches Passwort eingegeben.	
SAFEBOX_SELL_DISABLE_SAFEITEM	Du kannst keines der gespeicherten Item(s)e verkaufen.	
SAFEBOX_WRONG_PASSWORD	Die Passwörter müssen identisch sein.	
SASH_ABSORB_CHANCE	Absorption:%d%%	
SASH_ABSORB_CHANCE2	Aufnahme: %d%% ~ %d%%	
SASH_DEL_ABSORDITEM	Absorbiere einen Gegenstand, das absorbierte Item(s) wird zerstört.	
SASH_DEL_SERVEITEM	Das zweite Schulterband wird zerstört, wenn der Vorgang scheitert	
SASH_DO_YOU_CLEAN	Willst du den Bonus loswerden?	
SASH_FAILURE_CLEAN	Der Bonus kann nicht entfernt werden.	
SASH_REFINE_COST	Absorptionspreis: %d	
SAVED_ACCOUNT	Gespeicherte Konten
SAVE_ACCOUNT	Gespeicherte Konten
SCREENSHOT_SAVE1	Bildschirmfoto gespeichert in '%s'.	
SCREENSHOT_SAVE2	Bildschirmaufnahme-Datei.	
SCREENSHOT_SAVE_FAILURE	Fehlgeschlagenes Screen-Capture wird gespeichert.	
SEARCH_BONUS	Mit Bonus	
SEARCH_DEFAULT	Standard	
SEARCH_NOBONUS	Ohne Bonus	
SECOND	Sec	
SELECT_CAN_NOT_DELETE	Du kannst dieses Zeichen nicht löschen.	
SELECT_CHANGED_NAME	Du hast den Namen des Charakters geändert.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Der Name des Zeichens ist bereits vorhanden.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Versuche es erneut.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Das ist der falsche Zeichenname.
SELECT_CHANGE_NAME_TITLE	ändere den Zeichennamen.
SELECT_DELEING	Gelöscht...
SELECT_DELETED	Löschung erfolgreich.
SELECT_DO_YOU_DELETE_REALLY	Willst du fortfahren?
SELECT_EMPTY_SLOT	Dies ist ein leeres Feld.	
SELECT_INPUT_CHANGING_NAME	Es wurde ein neuer Zeichenname eingegeben.	
SELECT_UNKNOWN_LANG	Diese Sprache ist derzeit nicht verfügbar.	
SEPTEMBER	September	
SERVERNAME	Vidra2	
SERVERNAMETEST	Servertest	
SERVER_TIME	Serverzeit
SHIP_MAST	Mast	
SHOP_BUY_INFO	Wähle den Artikel, den du im Schaufenster kaufen möchtest.
SHOP_CANNOT_SELL_ITEM	Dieser Artikel kann nicht verkauft werden.
SHOP_ERROR_UNKNOWN	Unbekannter Shop-Fehler: %s
SHOP_EXCEED_LIMIT_TODAY	Du hast dein Tageslimit für die Verwendung von Punkten bereits überschritten.
SHOP_INVALID_POS	Dieser Artikel kann hier nicht verwendet werden.
SHOP_INVENTORY_FULL	Dein Inventar ist voll.
SHOP_NOT_ENOUGH_BATTLE_POINT	Du hast nicht genug Kampfpunkte.	
SHOP_NOT_ENOUGH_COUNT	Du hast nicht genug Gegenstände.	
